nama,alamat,tempat_lahir,phone_number,tanggal_lahir,ipk,tanggal_daftar
Luwar Sitorus,Gg. Sadang Serang No. 483,Palangkaraya,(010) 528-5588,1991-02-08,3.44,2020-04-20
"drg. Yunita Hidayat, S.Farm",Jalan Tebet Barat Dalam No. 515,Magelang,082 959 7758,1970-03-31,3.56,2020-08-03
"Dr. Kala Habibi, S.E.",Gg. Sadang Serang No. 726,Madiun,+62 (0623) 854-6431,1991-09-28,3.34,2020-06-30
Sutan Kacung Ramadan,Jl. Cempaka No. 3,Medan,(0390) 389-0114,2000-11-03,3.56,2022-12-19
Dr. Bella Rahimah,Gang Gardujati No. 547,Bau-Bau,(0615) 650 4555,1998-12-02,3.41,2020-09-05
Gara Natsir,Gg. Kapten Muslihat No. 338,Singkawang,+62-0780-609-3302,1976-10-29,3.59,2021-11-29
Jaiman Novitasari,Jalan Setiabudhi No. 678,Batu,+62-076-270-8795,1985-02-18,3.47,2019-05-22
Makara Situmorang,Jalan Tubagus Ismail No. 705,Kupang,+62 (76) 055 2095,1982-07-24,3.44,2018-10-07
Arsipatra Hassanah,Gang Rungkut Industri No. 0,Bukittinggi,+62-025-568-0464,1997-03-02,3.47,2022-03-07
"Lasmanto Wulandari, S.Sos",Jl. Surapati No. 51,Payakumbuh,+62 (091) 652 3872,1995-04-01,3.41,2019-02-25
Ridwan Prastuti,Gg. Cihampelas No. 215,Pematangsiantar,+62 (0064) 900 5554,1974-04-12,3.41,2020-02-15
Dr. Elma Wastuti,Gg. Pasir Koja No. 412,Jambi,(067) 067-2245,1964-10-15,3.59,2021-11-17
Zaenab Pratiwi,Jalan Joyoboyo No. 9,Tangerang Selatan,+62 (184) 503-4262,1977-09-26,3.41,2019-01-12
Yusuf Utama,Jalan Bangka Raya No. 14,Sorong,(0768) 091 1375,1977-11-11,3.34,2019-05-05
"T. Among Rahimah, S.Gz",Gg. Cikutra Timur No. 257,Kupang,+62 (0813) 340 1460,1964-07-10,3.47,2022-08-14
Oskar Pertiwi,Gang W.R. Supratman No. 48,Medan,+62-91-614-0145,1970-09-21,3.47,2022-02-04
drg. Sarah Wasita,Jalan Tebet Barat Dalam No. 18,Salatiga,081 903 5840,1997-08-22,3.41,2019-09-02
Galur Prastuti,Jl. Lembong No. 472,Bontang,+62-0733-278-7979,1998-03-21,3.52,2022-09-14
R.A. Chelsea Wibisono,Gang Sadang Serang No. 4,Banjarmasin,089 005 6017,1979-05-10,3.59,2022-04-07
Jaiman Prastuti,Jalan Gedebage Selatan No. 2,Ambon,088 071 7311,1972-06-02,3.16,2018-08-19
"Cut Nadia Widiastuti, S.H.",Gang Gedebage Selatan No. 2,Kediri,+62 (0485) 548-2706,2002-07-29,2.82,2019-05-04
"Irma Siregar, M.TI.",Gg. Indragiri No. 94,Pontianak,+62-24-675-3843,1975-10-02,3.64,2019-12-09
Langgeng Waskita,Gg. Asia Afrika No. 4,Padang Sidempuan,+62-0628-779-7746,1981-04-29,3.69,2018-06-15
"Ir. Lalita Widodo, M.Ak",Jl. W.R. Supratman No. 0,Pasuruan,0862519464,1986-05-18,3.31,2021-01-07
Prima Simanjuntak,Jalan Pasteur No. 735,Palopo,+62-43-597-9483,1971-08-27,3.25,2022-12-19
Ana Dongoran,Gang Tubagus Ismail No. 24,Surakarta,+62 (32) 042 4735,1978-05-15,3.36,2020-07-22
"Ir. Ismail Habibi, S.Pd",Jalan Gedebage Selatan No. 5,Singkawang,+62-0708-608-1567,1977-12-07,3.31,2021-07-29
"Alambana Hasanah, S.Ked",Gang HOS. Cokroaminoto No. 22,Bogor,+62 (0457) 330-5694,1971-03-31,3.52,2020-01-14
"Dr. Wasis Wahyuni, S.Farm",Jalan Ahmad Dahlan No. 538,Banjarbaru,+62-0994-862-5576,1970-11-05,3.36,2020-10-23
"Hj. Tania Prastuti, M.M.",Jalan Tubagus Ismail No. 7,Depok,0872619689,1998-06-29,3.49,2020-06-27
Jayadi Aryani,Jl. Jend. Sudirman No. 6,Sukabumi,+62-52-595-4684,2002-07-01,3.32,2019-10-02
Heru Gunarto,Jl. Erlangga No. 20,Kota Administrasi Jakarta Utara,+62 (954) 321-4770,1982-12-19,3.3,2022-08-08
Banara Puspita,Jl. Gedebage Selatan No. 313,Cirebon,+62 (066) 703-8321,1970-04-03,3.59,2019-12-04
Perkasa Firmansyah,Jalan S. Parman No. 85,Probolinggo,+62-57-618-2300,1971-03-03,3.77,2019-01-30
T. Ibun Sinaga,Jl. Pasteur No. 09,Sorong,+62 (90) 031 2787,1974-12-11,3.5,2021-06-04
"T. Dimaz Putra, S.Pt",Jl. Tebet Barat Dalam No. 2,Lhokseumawe,+62 (040) 227 7867,1995-09-22,3.73,2023-01-20
Asmadi Permata,Jalan Ronggowarsito No. 446,Tarakan,+62 (0101) 748 0473,1999-03-07,3.57,2021-11-13
"drg. Gina Novitasari, S.Farm",Jalan Pacuan Kuda No. 100,Kediri,(0448) 157 6108,1990-10-05,3.76,2020-07-25
Wasis Purwanti,Gg. Ahmad Yani No. 2,Pangkalpinang,080 200 5243,1975-12-16,3.49,2022-04-12
"drg. Kezia Prasasta, S.Pt",Gang S. Parman No. 835,Cilegon,(014) 101 6053,1984-10-15,3.73,2022-02-16
Dr. Mulyono Hardiansyah,Gg. Soekarno Hatta No. 6,Tarakan,+62-20-154-5038,1973-10-23,3.76,2020-09-26
"Lamar Hutasoit, M.Ak",Gang Pasirkoja No. 8,Kota Administrasi Jakarta Timur,0889833783,1988-01-16,3.7,2019-07-02
Oni Haryanti,Gg. Rungkut Industri No. 1,Tebingtinggi,087 007 9062,1978-12-15,3.59,2020-04-02
Sutan Cawisono Suryatmi,Gg. Ahmad Dahlan No. 9,Pekalongan,+62 (27) 012-3921,1992-09-13,3.73,2018-07-31
Reza Sihotang,Jl. Sentot Alibasa No. 63,Tanjungbalai,(0670) 731-7158,1981-05-20,3.73,2022-10-09
Warsita Rahayu,Gg. Antapani Lama No. 00,Tasikmalaya,+62 (963) 200-4026,1981-01-22,3.56,2021-10-09
Puput Fujiati,Gang Rajiman No. 3,Pariaman,+62 (848) 820-2790,1985-04-09,3.38,2020-10-26
"Hartana Uyainah, S.Kom",Gang Cikapayang No. 46,Banjarmasin,0873133446,1980-08-19,3.56,2018-11-05
Hj. Cinthia Pratama,Gg. Rajiman No. 0,Banda Aceh,083 054 9572,1971-10-12,3.47,2019-06-13
Drs. Irma Permata,Gang M.H Thamrin No. 917,Mataram,+62-046-448-0118,1984-01-31,3.16,2019-01-31
"Titin Salahudin, M.Ak",Gg. Astana Anyar No. 896,Pematangsiantar,0838970286,1982-08-26,3.56,2020-03-22
Upik Prabowo,Gang Ciumbuleuit No. 780,Tangerang Selatan,+62-567-310-6323,1972-10-20,3.46,2022-07-12
"dr. Tami Lailasari, S.Psi",Gang R.E Martadinata No. 25,Surabaya,+62 (37) 123 3260,1984-12-23,3.53,2023-05-01
Lasmanto Hasanah,Gg. Ciwastra No. 75,Palu,+62-000-288-6407,1997-05-10,2.69,2019-09-27
Ajimin Wibowo,Jalan Rajawali Barat No. 03,Sukabumi,+62-397-589-7966,2000-05-17,3.59,2022-06-16
Carub Purwanti,Jl. Sukajadi No. 05,Kota Administrasi Jakarta Pusat,+62 (970) 688 2490,1972-01-14,3.53,2021-01-13
"Harto Wibisono, S.Psi",Gg. Veteran No. 98,Cirebon,(093) 014 1851,1983-11-25,3.31,2020-07-16
"Luis Sitorus, S.Kom",Gang Raya Setiabudhi No. 9,Tangerang,+62 (65) 482-7173,1987-01-29,3.75,2021-05-10
"Tgk. Jumadi Farida, S.Kom",Gang Kutai No. 198,Batam,0868340605,1981-05-28,3.53,2018-06-22
R. Jaya Wijaya,Gg. R.E Martadinata No. 234,Sibolga,+62 (006) 783-5139,1973-08-15,3.47,2022-12-06
Wadi Fujiati,Jalan Joyoboyo No. 4,Bandar Lampung,+62-34-517-5879,1991-06-08,3.34,2022-01-24
Sutan Aditya Pranowo,Gang S. Parman No. 8,Probolinggo,+62-68-466-4345,1980-10-16,3.5,2022-11-10
"Gamblang Natsir, S.T.",Jalan Antapani Lama No. 2,Palembang,+62 (0929) 551-4820,1980-07-26,3.59,2022-01-21
Embuh Prasetyo,Gang Erlangga No. 71,Serang,+62-33-737-8850,1978-12-19,3.53,2021-03-14
"R.A. Padma Andriani, M.Ak",Jalan Moch. Ramdan No. 29,Ternate,+62 (054) 840 8053,1999-03-17,3.41,2020-05-22
"Putri Permata, S.Pt",Gg. HOS. Cokroaminoto No. 070,Tasikmalaya,(080) 235 4399,1985-10-02,3.59,2021-01-21
Hani Mahendra,Gg. Ahmad Dahlan No. 653,Tasikmalaya,+62 (0642) 261 3075,1975-08-11,3.53,2019-12-29
"Puti Rahmi Megantara, M.Ak",Gang Otto Iskandardinata No. 28,Gorontalo,+62 (15) 634-2539,1998-02-22,3.48,2019-11-13
Jane Nainggolan,Jl. Jend. Sudirman No. 376,Lubuklinggau,+62 (029) 971 3256,2002-09-06,3.59,2019-12-25
Maryanto Pudjiastuti,Gg. Siliwangi No. 0,Parepare,087 739 6279,1967-01-22,3.32,2022-05-01
Hardana Sinaga,Gang Ciwastra No. 172,Sorong,+62 (27) 668-0699,1973-01-27,3.59,2020-11-29
"Tri Dongoran, M.M.",Jl. Cikutra Timur No. 4,Blitar,+62 (480) 745-5909,2001-08-18,3.58,2019-09-10
"Hj. Keisha Napitupulu, S.E.I",Jalan Rajawali Barat No. 6,Tangerang Selatan,(019) 879-0520,1980-12-29,3.72,2022-01-23
"Qori Widiastuti, S.Sos",Jalan R.E Martadinata No. 037,Denpasar,+62-03-511-2020,1983-05-26,2.84,2018-08-27
Dewi Kuswandari,Gang Ciumbuleuit No. 4,Pematangsiantar,0806920190,1981-12-09,3.78,2021-02-11
Bagiya Suryatmi,Jl. Antapani Lama No. 5,Madiun,(054) 354-0709,1998-07-12,3.32,2019-10-29
"Umar Purwanti, S.T.",Jl. S. Parman No. 9,Palu,0823344495,2001-08-13,3.06,2018-07-29
Gandi Sudiati,Jalan Peta No. 5,Surabaya,+62 (12) 277 2944,1978-03-17,3.41,2020-11-08
Tgk. Almira Sihombing,Jl. Raya Ujungberung No. 7,Banjar,082 402 8160,1983-01-07,2.98,2019-04-06
Cinthia Tampubolon,Jalan Raya Setiabudhi No. 5,Tual,0897923023,1965-07-19,3.16,2019-04-10
Elvina Permadi,Gang Kutai No. 1,Manado,(0595) 912-9327,1970-11-25,3.39,2020-03-02
Cornelia Habibi,Jl. Moch. Ramdan No. 658,Mataram,+62-069-398-6533,1980-01-25,3.69,2021-03-02
Hani Pudjiastuti,Gang Suryakencana No. 4,Kota Administrasi Jakarta Pusat,084 499 0529,1999-09-17,3.2,2023-04-12
Dr. Danuja Manullang,Jalan Cikutra Barat No. 7,Kotamobagu,(0583) 698 1063,1982-01-22,3.33,2020-08-25
R. Ibrani Nugroho,Jalan KH Amin Jasuta No. 1,Makassar,(002) 233-8475,1964-05-02,3.57,2020-02-24
dr. Asman Puspasari,Gg. Asia Afrika No. 5,Balikpapan,(022) 384 3305,1970-08-07,3.62,2021-05-21
Mahdi Tamba,Jl. Moch. Toha No. 7,Subulussalam,+62 (981) 071-6709,1972-11-10,3.51,2018-08-27
"Puti Vivi Saragih, S.Kom",Gg. Moch. Ramdan No. 5,Lubuklinggau,0831589202,1976-05-23,3.46,2022-07-15
Jais Hariyah,Jalan M.H Thamrin No. 46,Batu,+62-094-174-6477,1977-05-30,3.4,2023-01-08
"Gamblang Pangestu, S.I.Kom",Gang Medokan Ayu No. 50,Sorong,(072) 659-1039,1969-07-31,3.45,2022-01-09
Dr. Fitriani Pranowo,Gg. Gedebage Selatan No. 52,Tanjungpinang,+62 (0111) 502-1698,1999-01-08,3.52,2020-08-26
"Najwa Hutagalung, S.E.",Gg. Soekarno Hatta No. 769,Bandar Lampung,+62-27-770-6420,1982-08-04,3.28,2021-04-05
"Lantar Widiastuti, S.E.",Jalan Yos Sudarso No. 1,Jambi,+62 (0263) 181-0687,1982-06-15,3.42,2020-06-18
Drs. Tari Lazuardi,Gg. Gedebage Selatan No. 1,Jayapura,+62 (076) 149-0081,1971-06-24,3.67,2020-12-22
Rina Lailasari,Gang Wonoayu No. 7,Tanjungpinang,+62 (067) 324 8532,1970-03-19,3.51,2018-06-30
"Drs. Lulut Irawan, M.Pd",Jl. Moch. Toha No. 1,Malang,+62-0481-228-4188,2000-10-30,3.66,2022-03-31
Gaiman Usamah,Gang Dipatiukur No. 9,Surakarta,+62-195-520-8655,2001-03-27,3.41,2022-05-14
Jarwi Nurdiyanti,Jl. Merdeka No. 70,Salatiga,(058) 152-4852,1965-01-14,3.6,2020-04-18
Paulin Gunawan,Gg. PHH. Mustofa No. 6,Tangerang Selatan,+62 (024) 630-4804,1997-04-11,3.52,2022-08-20
"Baktiono Hastuti, S.Pt",Gang Ahmad Yani No. 324,Parepare,(091) 593-1637,2001-06-29,3.4,2020-01-25
"Panca Tampubolon, S.Farm",Jl. Ir. H. Djuanda No. 02,Kota Administrasi Jakarta Pusat,+62 (020) 891-0945,1980-11-27,3.45,2020-02-21
Vega Mahendra,Jalan Otto Iskandardinata No. 654,Ambon,0879804325,1982-08-20,3.45,2022-09-08
R. Faizah Sihombing,Jl. Rajawali Barat No. 446,Payakumbuh,+62-079-708-1884,1994-05-26,3.43,2022-01-28
"H. Mulyanto Prasetyo, S.Ked",Gg. Jamika No. 1,Manado,+62 (262) 158 3049,1982-05-18,3.45,2020-04-28
Indah Halim,Gg. Raya Setiabudhi No. 9,Langsa,+62 (324) 427 1207,1972-05-20,3.38,2020-07-29
Hafshah Mustofa,Gang Sadang Serang No. 60,Padangpanjang,+62-019-383-1457,1976-08-04,3.54,2018-11-09
Maida Gunarto,Gang Gegerkalong Hilir No. 151,Tidore Kepulauan,+62 (68) 774 6330,1990-11-21,3.43,2021-04-10
dr. Shakila Simbolon,Jalan Ahmad Yani No. 222,Ambon,+62 (027) 659 9133,1969-04-05,3.46,2022-09-03
Jati Hasanah,Gang Cikapayang No. 467,Tanjungbalai,086 506 0226,1964-07-23,3.45,2019-08-08
Danang Pratama,Gang Cikutra Barat No. 400,Ambon,+62-0869-804-7746,1975-12-01,3.71,2018-11-12
Lutfan Sihombing,Gang Lembong No. 85,Prabumulih,(0037) 700-9639,1982-06-09,3.18,2021-09-13
Marwata Melani,Gg. Kutisari Selatan No. 1,Bandung,+62-00-743-4611,2001-03-23,3.71,2022-05-23
Irma Sirait,Gang Yos Sudarso No. 91,Pariaman,+62-022-976-4480,1993-03-08,3.71,2023-01-12
Gandi Purnawati,Jalan Soekarno Hatta No. 250,Semarang,+62-819-790-5054,1969-09-10,3.64,2021-07-02
"Luis Narpati, M.Ak",Gg. Pacuan Kuda No. 8,Palopo,+62 (56) 600-5848,1997-09-11,3.47,2020-03-03
R.A. Zelaya Laksita,Gang Stasiun Wonokromo No. 99,Tomohon,+62 (0347) 518 3095,1967-04-27,3.47,2019-08-03
Bala Tampubolon,Jalan Laswi No. 6,Denpasar,0848335520,1998-03-24,3.4,2020-02-18
Mitra Halimah,Gang Rawamangun No. 953,Tegal,087 636 5625,1979-10-24,3.52,2020-10-03
Zelda Mayasari,Gang Monginsidi No. 20,Lhokseumawe,+62-014-170-0779,1982-07-10,3.58,2023-02-20
Elma Napitupulu,Jalan Kutisari Selatan No. 3,Lhokseumawe,+62-0430-244-0293,1966-02-28,3.64,2022-08-13
"Dewi Narpati, S.Farm",Jl. Setiabudhi No. 27,Langsa,0809190789,1997-08-27,3.53,2019-11-22
Ikhsan Iswahyudi,Gg. Sentot Alibasa No. 85,Pagaralam,+62 (082) 718 3816,1998-11-15,3.49,2019-03-08
Juli Winarno,Gg. Dr. Djunjunan No. 869,Langsa,+62-034-160-5293,1969-09-30,3.59,2019-06-17
"Simon Utama, S.Farm",Gg. Dr. Djunjunan No. 4,Cirebon,+62 (620) 018 2577,1970-01-03,3.52,2021-08-07
"Dt. Caturangga Agustina, S.E.",Gang Ciumbuleuit No. 307,Tidore Kepulauan,+62 (0450) 255-7775,1989-04-01,3.6,2020-05-26
Belinda Prasetyo,Gg. Abdul Muis No. 2,Payakumbuh,(065) 872-3996,1986-07-19,3.63,2019-09-09
Cawisadi Wacana,Gang Laswi No. 440,Tebingtinggi,(0153) 156 2007,1982-09-28,3.31,2021-03-11
R.M. Oman Halimah,Jl. Cikutra Barat No. 69,Sabang,+62 (0127) 565 8162,1997-12-20,3.49,2019-01-25
Asman Prastuti,Jalan Astana Anyar No. 607,Padang Sidempuan,+62 (037) 874 5365,1964-12-06,3.56,2021-07-18
Kenzie Nashiruddin,Jalan Kebonjati No. 16,Sukabumi,(004) 713-9543,1981-10-07,3.5,2020-06-27
"Wage Kusmawati, S.I.Kom",Gang Pelajar Pejuang No. 21,Bontang,+62 (062) 919-7052,2003-01-24,3.52,2022-11-15
"R. Jumari Suryatmi, S.Psi",Gg. Astana Anyar No. 19,Bengkulu,085 600 1811,1987-12-22,3.81,2023-02-24
Ciaobella Riyanti,Jl. K.H. Wahid Hasyim No. 34,Serang,+62 (009) 850-0100,1997-08-18,3.53,2022-09-13
"Jumadi Winarno, S.E.I",Jl. Tebet Barat Dalam No. 24,Manado,+62 (819) 693 1087,1983-08-09,3.42,2018-06-03
Mahmud Yuniar,Gg. Dr. Djunjunan No. 35,Bandar Lampung,+62 (85) 444-3377,1980-06-27,3.58,2022-01-04
Kairav Pranowo,Jl. Erlangga No. 8,Lhokseumawe,(009) 658-8721,2002-04-24,3.55,2019-06-21
Cawisono Mulyani,Jl. Dipatiukur No. 17,Banda Aceh,0888147829,1984-08-19,3.35,2019-03-14
"Leo Sitorus, S.E.I",Jalan Jakarta No. 26,Cimahi,+62 (099) 551 3414,1993-11-08,3.15,2019-03-07
Jaswadi Hassanah,Gg. HOS. Cokroaminoto No. 54,Payakumbuh,+62-074-655-8855,1966-01-10,3.53,2022-06-13
Siti Suartini,Gang R.E Martadinata No. 9,Malang,0831007031,1973-03-12,3.51,2023-02-26
Ida Anggraini,Jl. Peta No. 179,Kota Administrasi Jakarta Utara,+62-98-762-2324,1996-09-15,3.55,2018-08-22
Elma Nuraini,Gg. Sentot Alibasa No. 988,Ternate,(073) 191-0309,1983-08-27,3.74,2020-12-04
Dina Prasetya,Jalan Bangka Raya No. 96,Ternate,(0929) 832 7870,1998-03-08,3.49,2021-01-28
Yunita Suartini,Gang Rajiman No. 73,Solok,(080) 034 7224,1999-07-11,3.51,2020-01-24
Karimah Wijayanti,Gang Bangka Raya No. 72,Tomohon,+62 (84) 856-5240,1991-01-07,3.73,2022-10-12
Dimaz Maheswara,Gang Gegerkalong Hilir No. 3,Palembang,+62-0001-899-8854,1965-02-08,3.49,2018-06-18
"Wani Mardhiyah, M.Farm",Gg. Ahmad Dahlan No. 721,Cilegon,+62-602-096-2487,1979-03-18,3.55,2020-03-14
Prabawa Prasetya,Gg. Tubagus Ismail No. 14,Batu,+62-060-155-2694,1981-12-17,3.44,2019-05-07
"Puti Ida Samosir, S.Pt",Jl. Cikapayang No. 5,Magelang,+62 (76) 158-4897,1982-01-15,3.32,2023-03-26
Gawati Permadi,Jl. Cempaka No. 734,Metro,+62 (295) 201-1948,1992-06-08,3.72,2022-07-21
Tiara Kurniawan,Jl. Ahmad Dahlan No. 6,Surakarta,+62 (58) 411-4450,1983-08-03,3.47,2020-12-15
Hj. Safina Farida,Gang Pacuan Kuda No. 8,Tanjungpinang,(063) 422-0600,1990-11-14,3.53,2022-11-17
R.A. Titin Saragih,Gang Jakarta No. 36,Blitar,+62-23-209-5235,1989-12-15,3.54,2018-07-24
Harto Utama,Jalan Jakarta No. 001,Kediri,+62-0596-323-6603,1979-08-18,3.5,2022-06-20
Raisa Tarihoran,Gang Kapten Muslihat No. 8,Malang,+62 (275) 069 6972,1994-07-27,3.5,2020-07-06
Caturangga Hutapea,Gg. Kiaracondong No. 85,Bima,+62 (38) 999-6216,1967-05-19,3.68,2022-01-17
Michelle Gunarto,Gang Kutai No. 85,Cilegon,+62-484-467-7084,1966-10-31,3.58,2023-04-16
R.M. Tirtayasa Hidayanto,Jl. K.H. Wahid Hasyim No. 5,Bandar Lampung,+62 (0404) 412 5698,2003-01-03,3.55,2023-05-06
Salsabila Santoso,Jalan Soekarno Hatta No. 995,Binjai,087 005 5470,1967-01-23,3.72,2018-07-12
Pranata Fujiati,Jalan Rumah Sakit No. 1,Bima,(0315) 728 4663,1972-01-16,3.58,2022-12-02
Martani Pratiwi,Gg. Pelajar Pejuang No. 504,Subulussalam,(079) 524-8829,1980-03-22,3.58,2021-08-22
"R.A. Paris Simanjuntak, S.T.",Gang Kutisari Selatan No. 7,Kendari,+62-083-487-8218,2001-09-03,3.38,2018-11-27
Titi Padmasari,Jl. Suryakencana No. 632,Prabumulih,+62-0109-105-8655,1997-02-25,3.5,2021-06-19
"R. Praba Gunawan, S.Farm",Gg. Astana Anyar No. 3,Bitung,(087) 977-3443,1990-08-25,3.55,2020-01-23
"drg. Najwa Riyanti, S.Sos",Gang Pacuan Kuda No. 61,Lubuklinggau,088 923 1003,1984-03-15,3.68,2019-03-17
Muhammad Palastri,Jalan PHH. Mustofa No. 6,Batu,(0988) 264 4802,1994-05-28,3.52,2019-07-31
Cindy Narpati,Gg. Soekarno Hatta No. 8,Solok,+62 (0822) 968 4685,1984-01-03,3.5,2023-04-08
"T. Ian Sinaga, S.E.",Gg. Kapten Muslihat No. 780,Jambi,+62 (0541) 462-3198,1984-11-08,3.27,2020-09-02
